District,Total Enrollment,Total Revenue
ROCK CREEK SCHOOL DIST 2,481,4955
ROCK CREEK UNIFIED SCHOOL DISTRICT 323,948,10547
ROCK FALLS SCHOOL DISTRICT 13,1147,11893
ROCK FALLS TOWNSHIP HIGH SCHOOL DISTRICT 301,650,10408
ROCK HILL LOCAL SCH DIST,1461,20883
ROCK HILL SCHOOL DISTRICT 3,17769,197834
ROCK HILL UNIFIED SCHOOL DISTRICT 107,307,4000
ROCK ISLAND SCHOOL DISTRICT 41,6830,91808
ROCK PORT SCH DIST R2,319,4719
ROCK VALLEY COMMUNITY SCHOOL DISTRICT,769,10399
ROCKAWAY BORO SCH DIST,579,9558
ROCKAWAY TWP SCH DIST,2364,53053
ROCKBRIDGE COUNTY SCHS,2824,34815
ROCKCASTLE CO SCH DIST,2932,28884
ROCKDALE CO SCH DIST,16442,170509
ROCKDALE IND SCH DIST 904,1594,18076
ROCKDALE SCHOOL DISTRICT 84,311,4216
ROCKFORD ELEM SCH DIST,407,3250
ROCKFORD IND SCH DIST 883,1710,23091
ROCKFORD SCH DIST 1 FR,7864,89011
ROCKFORD SCHOOL DISTRICT 205,28650,443677
ROCKINGHAM COUNTY SCH,13141,115218
ROCKINGHAM COUNTY SCHS,11870,133950
ROCKINGHAM SCHOOL DISTRICT,563,11259
ROCKLAND SCHOOL DISTRICT 382,184,2042
ROCKLAND TOWN SCHS,2263,38163
ROCKLIN UNIF SCHOOL DISTRICT,12738,130980
ROCKPORT PUBLIC SCHS,958,17631
ROCKRIDGE COMMUNITY SCHOOL DISTRICT 300,1140,13148
ROCKSPRINGS IND SCH DISTRICT 901,257,4187
ROCKTON SCHOOL DISTRICT 140,1529,15076
ROCKVILLE CENTRE UNION FREE SCHOOL DIST,3583,106514
ROCKWALL IND SCH DIST 901,14992,154052
ROCKWOOD AREA SCH DIST,734,11463
ROCKWOOD SCH DIST R-6,20553,263898
ROCKY BOY ELEM DIST 87-J,413,9391
ROCKY BOY HIGH SCHOOL DIST L,138,2734
ROCKY FORD SCH DIST R 2,809,8555
ROCKY HILL TOWN SCHOOLS,2466,52193
ROCKY MOUNTAIN SCH DIST 24,181,1914
ROCKY POINT UF SCH DIST,3340,77660
ROCKY RIVER CITY SCH DIST,2752,45024
ROFF SCH DIST 37,338,3278
ROGERS CITY AREA SCH DIST,564,5546
ROGERS IND SCH DIST 907,857,9134
ROGERS SCH DIST 30,15368,165948
ROGERSVILLE TWN SCH DIST,647,5966
ROGUE RIVER SCH DIST 35,888,10096
ROLAND SCH DIST 5,1100,8836
ROLAND STORY COMMUNITY SCHOOL DISTRICT,1027,12380
ROLETTE SPEC SCH DIST 29,160,2828
ROLLA SCH DIST 31,4075,41910
ROLLA UNIFIED SCHOOL DISTRICT 217,204,3075
ROLLING HILLS LOCAL SCHOOL DISTRICT,1661,21187
ROLLINSFORD TOWN SCH DIST,266,5170
ROMA IND SCH DIST 903,6439,75229
ROME CITY SCH DIST,5541,113331
ROME COMMUNITY CONSOLIDATED SCHOOL DISTRICT 2,351,2942
ROME INDEPENDENT SCHOOL DISTRICT,6271,62172
ROMEO COMM SCH DIST,5221,59082
ROMOLAND ELEM SCH DIST,3505,40177
ROMULUS CENTRAL SCH DIST,402,12972
ROMULUS COMMUNITY SCHS,3002,40925
RONAN ELEM SCH DIST 30,1061,12099
RONAN H S DIST 30,337,4816
RONDOUT SCHOOL DISTRICT 72,147,6399
RONDOUT VAL CTL SCH DIST,1966,59626
ROOKS CREEK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 425,52,928
ROOSEVELT BORO SCH DIST,92,3672
ROOSEVELT IND SCH DIST 908,1067,12276
ROOSEVELT SCH DIST 18,105,1743
ROOSEVELT SCHOOL DISTRICT 403,27,548
ROOSEVELT SCHOOL DISTRICT 66,9614,116064
ROOSEVELT UF SCH DIST,3363,101075
ROOTSTOWN LOCAL SCH DIST,1178,13407
ROPES IND SCH DIST 905,316,3747
ROQUE BLUFFS TOWN SCHOOLS,28,380
ROSALIA SCHOOL DISTRICT 320,203,3886
ROSCOE CENTRAL SCHOOL DISTRICT,297,9256
ROSCOE IND SCH DIST 901,583,7904
ROSCOE SCH DIST C 1,90,930
ROSE BUD SCH DIST 35,862,9502
ROSE HILL UNIFIED SCHOOL DISTRICT 394,1685,17765
ROSE TREE MEDIA SCH DIST,3742,85878
ROSEAU SCH DIST 682,1180,13909
ROSEBUD K-12 SCHOOL DISTRICT,67,1840
ROSEBUD-LOTT IND SCH DISTRICT 905,632,7878
ROSEDALE UNION ELEM SCH DIST,5397,61390
ROSELAND BORO SCH DIST,439,9213
ROSELAND SCHOOL DISTRICT,2755,38071
ROSELLE BORO SCH DIST,2748,56386
ROSELLE PARK BORO SCH DIST,1974,36288
ROSELLE SCHOOL DISTRICT 12,695,12669
ROSEMEAD ELEM SCH DIST,2668,33323
ROSEMONT SCHOOL DISTRICT 78,262,5769
ROSEMOUNT SCH DIST 196,27533,360384
ROSENDALE-BRANDON SCHOOL DISTRICT,1072,12350
ROSEVILLE CITY ELEM SCHOOL DIST,9820,102350
ROSEVILLE COMMUNITY SCHOOLS,4950,61650
ROSEVILLE IND SCH DIST 623,7614,109694
ROSEVILLE JT UNION HIGH SCH,10223,117328
ROSHOLT SCHOOL DISTRICT,574,7246
ROSHOLT SCHOOL DISTRICT 54-4,213,2543
ROSLYN UNION FREE SCH DIST,3149,104209
ROSS ELEM SCH DIST,367,7985
ROSS LOCAL SCH DIST,2712,28281
ROSS VALLEY SCHOOL DISTRICT,2320,31956
ROSSFORD EX VLG SCH DIST,1603,24820
ROSSVILLE CONSOLIDATED SCHOOL DISTRICT,940,9992
ROSSVILLE-ALVIN COMMUNITY UNIT SCHOOL DISTRICT 7,301,4286
ROSWELL INDEPENDENT SCHOOLS,10445,109146
ROTAN IND SCH DIST 904,255,4110
ROTHSAY SCH DIST 850,275,4240
ROTTERDAM-MOHONASEN CENTRAL SCH DIST,2818,49355
ROUND LAKE AREA SCHOOL DISTRICT 116,7165,107775
ROUND LAKE-BREWSTER PUBLIC SCHOOLS,266,3515
ROUND ROCK IND SCH DIST 909,47251,488305
ROUND VALLEY ELEM SCH DIST,136,1757
ROUND VALLEY UNIFIED SCH DIST,394,6414
ROUND VALLEY UNIFIED SCHOOL DISRICT 10,1330,10580
ROUNDTOP CARMINE IND SCH DISTRICT 908,284,4677
ROUNDUP ELEM SCH DIST 55,436,4434
ROUNDUP H S DIST 55H,204,2997
ROWAN CO SCH DIST,3380,33852
ROWAN COUNTY SCH,20111,172078
ROWE ELEM SCHOOL,64,2043
ROWLAND UNIFIED SCH DIST,15055,206020
ROXANA COMMUNITY UNIT SCHOOL DISTRICT 1,1886,31931
ROXBURY CENTRAL SCHOOL DIST,331,11516
ROXBURY TWP SCH DIST,3701,82195
ROXBURY VILLAGE SCH DIST,79,1328
ROXTON IND SCH DIST 908,153,2296
ROY K-12 SCHOOL DISTRICT,42,1051
ROY SCHOOL DISTRICT,58,1837
ROYAL IND SCH DIST 905,2202,28229
ROYAL OAK PUB SCH DIST,4881,70559
ROYAL SCHOOL DISTRICT 160,1679,24706
ROYAL VALLEY SCHOOL DISTRICT 337,910,11053
ROYALL SCHOOL DISTRICT,576,9599
ROYALTON HARTLAND CENTL SCHOOL DIST,1437,22135
ROYALTON IND SCH DIST 485,933,9833
ROYSE CITY IND SCH DIST 902,5070,51466
RTR PUBLIC SCHOOLS,584,7266
RUBICON JOINT SCHOOL DISTRICT 6,74,1380
RUDD-ROCKFORD-MARBLE ROCK COMMUNITY SCHOOL DISTRICT,473,6089
RUDYARD TWP SCH DIST 11,699,8390
RUGBY SCH DIST 5,567,8536
RUIDOSO SCHOOL DISTRICT,2070,24679
RULE IND SCH DIST 903,122,1791
RUMNEY TOWN SCH DIST,114,2662
RUMSON BORO SCH DIST,976,17847
RUMSON FAIR HAVEN REG HIGH SCHOOL DIST,933,20207
RUNGE IND SCH DIST 903,321,18692
RUNNEMEDE BORO SCH DIST,841,13854
RURAL VISTA UNIFIED SCHOOL DISTRICT 481,308,4519
RUSH CITY IND SCH DISTRICT 139,877,10442
RUSH SPRINGS SCH DIST 68,574,5160
RUSHFORD-PETERSON SCHOOL DIST,672,8232
RUSH-HENRIETTA CENTRAL SCH DIST,5394,119921
RUSHVILLE CONSOLIDATED SCHOOLS,2396,27795
RUSK IND SCH DIST 907,2210,21102
RUSSELL CO SCH DIST,3069,32862
RUSSELL CO SCHS,4177,41407
RUSSELL COUNTY SCHOOL DISTRICT,3638,33428
RUSSELL COUNTY UNIFIED SCHOOL DISTRICT 407,798,9980
RUSSELL INDEP SCH DIST,2220,22586
RUSSELLVILLE CITY SCHOOLS,2628,25713
RUSSELLVILLE IND SCH D,1062,12173
RUSSELLVILLE SCH DIST 14,5397,59997
RUSSIA LOCAL SCH DIST,453,5028
RUTHERFORD BORO SCH DIST,2502,47067
RUTHERFORD CO SCH DIST,41893,348673
RUTHERFORD COUNTY SCHOOLS,8604,81993
RUTHVEN-AYRSHIRE COMMUNITY SCHOOL DISTRICT,257,3405
RUTLAND CITY SCHOOLS,1989,50700
RUTLAND COMMUNITY CONSOLIDATED SCHOOL DISTRICT 230,66,1559
RUTLAND SCHOOL DISTRICT 39-4,157,1944
RUTLAND TOWN SCH DIST,539,7719
RYAL SCH DIST 3,69,956
RYAN SCH DIST 1,256,2871
RYE CITY SCH DIST,3360,80537
RYE NECK UNION FREE SCHOOL DIST,1552,39713
RYE SCHOOL DIST,658,12714
RYEGATE K-12 SCHOOL DISTRICT,47,1243
S S CONSOL IND SCH DIST 914,841,9579
SABINAL IND SCH DIST 902,515,6311
SABINE IND SCH DIST 906,1404,13743
SABINE PARISH SCHOOL DISTRICT,4370,51975
SABINE PASS IND SCH DIST 913,379,10747
SACATON SCHOOL DISTRICT 18,526,9758
SACHEM CENTRAL SCH DIST,13882,297396
SACKETS HARBOR CENTRAL SCH DST,453,8048
SACO ELEMENTARY SCHOOL DIST 12A,30,1077
SACRAMENTO CITY UNIF SCH DIST,46868,558687
SACRAMENTO CO SPL SCHS OPER BY CO SUPT,1704,136043
SADDLE BROOK TWP SCH DIST,1668,36198
SADDLE MOUNTAIN UNIFIED SCHOOL DISTRICT,1448,15762
SADDLE RIVER BORO SCH DIST,187,8922
SADDLEBACK VALLEY UNIFIED SCHOOL DIST,29028,293157
SAFFORD SCHOOL DISTRICT 1,3168,22439
SAG HARBOR UF SCH DIST,1014,36541
SAGINAW PUB SCH DIST,6850,77605
SAGINAW TWP SCH DIST 10,4904,48550
SAHUARITA SCHOOL DISTRICT 30,5658,45831
SAINT BERNARD-ELMWOOD PLACE CY SCHOOL DIST,1039,15849
SAINT CLAIR AREA SCHOOL DISTRICT,577,10584
SAINT JO IND SCH DIST 911,257,3978
SALADO IND SCH DIST 908,1563,13770
SALAMANCA CITY SCH DIST,1320,27798
SALEM CENTRAL SCHOOL DISTRICT,509,11849
SALEM CITY SCH,4199,93959
SALEM CITY SCH DIST,2059,23249
SALEM CITY SCHOOL DIST,3865,43715
SALEM COMMUNITY HIGH SCHOOL DISTRICT 600,739,9238
SALEM COMMUNITY SCHOOL DISTRICT,1948,23178
SALEM COUNTY SPECIAL SERVICES SCHOOL DISTRICT,200,14622
SALEM COUNTY VOCATIONAL EDUCATION SCHOOL DISTRICT,832,10995
SALEM KEIZER SCH DIST 24J,40804,478744
SALEM SCH DIST,766,9224
SALEM SCH DIST R 80,1112,12016
SALEM SCHOOL DIST,3763,62884
SALEM SCHOOL DISTRICT,1178,29622
SALEM SCHOOL DISTRICT 111,1052,10029
SALEM TOWN SCHOOLS,392,12626
SALEM-BRISTOL JOINT SCHOOL DISTRICT 2,1012,14162
SALIDA SCH DIST R-32J,1194,17204
SALIDA UNION ELEMENTARY SCHOOL DISTRICT,2576,29930
SALINA SCH DIST 16,811,7272
SALINA UNIFIED SCHOOL DISTRICT 305,7387,94840
SALINAS CITY ELEM SCH DIST,9125,93456
SALINAS UNION HIGH SCHOOL DIST,14437,160744
SALINE AREA SCH DIST,5264,72008
SALISBURY CENTRAL SCHOOL,273,7424
SALISBURY SCH DIST R 4,443,7337
SALISBURY TOWN SCH DIST,100,1846
SALISBURY TWP SCH DIST,1540,36227
SALISBURY-ELK LICK SCHOOL DIST,288,4536
SALLISAW SCH DIST 1,1978,16629
SALMON RIVER CENTRAL SCH DIST,1595,43671
SALMON RIVER JOINT SCHOOL DISTRICT 243,104,2330
SALMON SCHOOL DISTRICT 291,798,7319
SALOME SCHOOL DISTRICT 30,110,1518
SALT CREEK SCHOOL DISTRICT 48,482,12885
SALT LAKE CITY SCHOOL DIST,24451,267165
SALTILLO IND SCH DIST 909,268,3381
SALUDA COUNTY SCHOOL DISTRICT 1,2204,23008
SAM RAYBURN IND SCH DIST,488,5045
SAMPSON CO SCH,8763,74146
SAN ANGELO IND SCH DIST 903,15155,144032
SAN ANTONIO IND SCH DIST 907,53750,619471
SAN ANTONIO UNION ELEM SCH DIST,170,2076
SAN ARDO UNION ELEM SCH DIST,100,1802
SAN AUGUSTINE IND SCH DIST 901,768,10059
SAN BENITO CO SPL SCHS OPER BY CO SUPT,116,13770
SAN BENITO CONS IND SCH DISTRICT 912,11035,122349
SAN BENITO JT UNION HIGH SCHOOL DIST,3003,31263
SAN BERNARDINO CITY UNIF SCHOOL DIST,53365,627384
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,3029,398035
SAN BRUNO PARK ELEMENTARY SCHOOL DISTRICT,2796,27255
SAN CARLOS ELEMENTARY SCHOOL DISTRICT,3457,47803
SAN CARLOS UNIFIED SCHOOL DISTRICT 20,1533,21690
SAN DIEGO CITY UNIF SCH DIST,129779,1728234
SAN DIEGO CO SPL SCHS OPER BY CO SUPT,3788,509557
SAN DIEGO IND SCH DIST 902,1411,15520
SAN DIEGUITO UNION HIGH SCHOOL DIST,12645,142118
SAN ELIZARIO IND SCH DIST 904,4051,43943
SAN FELIPE-DEL RIO CONS IND SCHL DIST 901,10666,103977
SAN FERNANDO SCHOOL DISTRICT 35,27,351
SAN FRANCISCO CITY/CNTY SPECIAL SCHOOLS,398,153795
SAN FRANCISCO UNIF SCH DIST,58414,861928
SAN GABRIEL UNIFIED SCHOOL DIST,6410,62807
SAN ISIDRO IND SCH DIST 902,240,3598
SAN JACINTO UNIFIED SCH DIST,10698,101250
SAN JOAQUIN CO SPL SCHS,3520,181130
SAN JON SCHOOL DISTRICT,146,2621
SAN JOSE UNIFIED SCH DIST,32938,429562
SAN JUAN CO SCH DIST,3152,41241
SAN JUAN ISLAND SCHOOL DISTRICT 149,801,10389
SAN JUAN UNIF SCH DIST,49114,521892
SAN LEANDRO UNI SCH DIST,8617,99113
SAN LORENZO UNIFIED SCHOOL DIST,12070,125653
SAN LORENZO VAL UNIF SCH DIST,4613,34877
SAN LUCAS UNION ELEM SCH DIST,52,1013
SAN LUIS COASTAL UNIF SCH DIST,7636,87362
SAN LUIS OBISPO CO SPL SCHS OPER BY CO SUPT,496,49946
SAN MARCOS IND SCH DISTRICT 902,7755,90629
SAN MARCOS UNIFIED SCH DIST,20452,219465
SAN MARINO UNI SCH DIST,3143,44320
SAN MATEO CO SPL SCHS OPER BY CO SUPT,403,158789
SAN MATEO HIGH SCHOOL DISTRICT,8321,176009
SAN MATEO-FOSTER CITY SCHOOL DISTRICT,11858,171090
SAN MIGUEL JT UNION ELEM SCHOOL DIST,849,7773
SAN PASQUAL UNION SCH DIST,553,5567
SAN PASQUAL VAL UNIFIED SCH DIST,759,14691
SAN PERLITA IND SCH DIST 904,281,4347
SAN RAFAEL ELEMENTARY DISTRICT,4635,64481
SAN RAFAEL HIGH SCHOOL DISTRICT,2365,34601
SAN RAMON VALLEY UNIFIED SCHOOL DISTRICT,31954,320387
SAN SABA IND SCH DIST 901,712,8643
SAN SIMON SCHOOL DISTRICT 18,137,2006
SAN VICENTE ISD 903,29,1000
SAN YSIDRO ELEM SCH DIST,4842,60666
SANBORN CENTRAL SCHOOL DISTRICT 5-55,199,2363
SANBORN REGIONAL SCHOOL DISTRICT,1558,33227
SAND COULEE ELEM SCH DT 5,192,2303
SAND COULEE HIGH SCH DIST 5C,71,1559
SAND CREEK COMM SCHOOLS,915,9158
SAND HILLS PUB SD 71,115,2809
SAND SPRINGS SCH DIST 2,5304,43588
SANDERS UNIFIED SCHOOL DISTRICT 18,755,13816
SANDOVAL COMMUNITY UNIT SCHOOL DISTRICT 501,509,5890
SANDRIDGE SCHOOL DISTRICT 172,404,5837
SANDS IND SCH DIST,238,15222
SANDUSKY CITY SCH DIST,3371,53590
SANDUSKY COMM SCH DIST,1003,10217
SANDWICH COMMUNITY SCHOOL DISTRICT 430,2151,28973
SANDWICH TOWN SCH,2873,51938
SANDY CREEK CENTRAL SCH,835,23081
SANDY VALLEY LOCAL SCH DIST,1446,17495
SANDYSTON-WALPACK SCHOOL DIST,145,3245
SANFORD IND SCH DIST 903,830,8099
SANFORD PUBLIC SCHOOL DEPARTMENT,3060,43871
SANFORD SCH DIST 6,391,3886
SANGAMON VALLEY COMMUNITY UNIT  SCHOOL DISTRICT 9,718,9111
SANGER IND SCH DIST 908,2645,28266
SANGER UNIF SCH DIST,11204,129974
SANGRE DE CRISTO SCH DIST RE-22J,337,3913
SANTA ANA UNI SCH DIST,56815,658220
SANTA ANNA IND SCH DIST 903,265,3401
SANTA BARBARA CO SPL SCHS OPER BY CO SUPT,309,79598
SANTA BARBARA UNIFIED SCHOOL DISTRICT,15593,167231
SANTA CLARA CO SPL SCHS OPER BY CO SUPT,10596,411002
SANTA CLARA ELEM SCH DIST,56,534
SANTA CLARA UNIF SCH DIST,15298,237033
SANTA CRUZ CITY SCHOOL DISTRICT,7092,82912
SANTA CRUZ CO SPL SCHS OPER BY CO SUPT,1289,65219
SANTA CRUZ ELEMENTARY SCHOOL DISTRICT 28,290,2102
SANTA CRUZ VALLEY SCHOOL DISTRICT 35,3310,24328
SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT 840,424,5805
SANTA FE CITY SCHOOL DISTRICT,14752,197132
SANTA FE IND SCH DISTRICT 909,4659,44950
SANTA FE SCHOOL DISTRICT R-10,362,4907
SANTA FE TRAIL UNIFIED SCHOOL DISTRICT 434,1048,12633
SANTA GERTRUDIS IND SCH DISTRICT 904,630,9800
SANTA MARIA IND SCH DIST 913,719,10277
SANTA MARIA JT UNION HIGH SCHOOL DIST,7782,90302
SANTA MARIA-BONITA SCHOOL DISTRICT,16026,164273
SANTA MONICA-MALIBU UNIFIED SCHOOL DIST,11289,197337
SANTA PAULA UNIFIED SCHOOL DISTRICT,5459,62887
SANTA RITA UNION ELEM SCH DIST,3292,32056
SANTA ROSA CITY SCHOOLS,16710,186756
SANTA ROSA CONSOLIDATED SCHOOL DISTRICT,646,9023
SANTA ROSA COUNTY SCHOOL DISTRICT,26330,236123
SANTA ROSA IND SCH DIST 914,1150,14899
SANTA YNEZ VAL UNION HIGH SCHOOL DIST,1025,13487
SANTEE SCH DIST 505,180,7344
SANTEE SCHOOL DISTRICT,6472,69069
SANTIAM CANYON SCH DIST 129J,541,6021
SANTO IND SCH DIST 904,479,5691
SAPULPA SCH DIST 33,4068,35361
SARALAND CITY SCHOOLS,2862,27213
SARANAC COMM SCH DIST,1032,10985
SARANAC CTL SCH DIST,1478,30642
SARANAC LAKE CTL SCHOOL DIST,1249,29027
SARASOTA COUNTY SCHOOL DISTRICT,41912,511010
SARATOGA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 60-C,798,10018
SARATOGA SPRINGS CITY SCHOOL DIST,6481,113331
SARATOGA UNION ELEM SCH DIST,2069,33004
SARCOXIE SCH DIST R 2,764,8872
SARGENT CENT SCH DIST 6,170,4134
SARGENT SCH DIST 84,180,3131
SARGENT SCH DIST R 33 J,424,4528
SARTELL IND SCH DIST 748,3805,41758
SASAKWA SCHOOL DISTRICT 10,229,2278
SATANTA UNIFIED SCHOOL DISTRICT 507,314,4640
SATSOP SCHOOL DISTRICT 104,57,711
SATSUMA CITY SCHOOL DISTRICT,1294,12502
SAUCELITO ELEM SCH DIST,82,959
SAUCON VALLEY SCH DIST,2269,42565
SAUGATUCK SCHOOL DIST 8,835,10945
SAUGERTIES CTL SCH DIST,2710,60406
SAUGUS TOWN SCH,2725,45374
SAUGUS UNION SCHOOL DISTRICT,9911,156546
SAUK CENTRE SCH DIST 743,1028,12729
SAUK PRAIRIE SCHOOL DISTRICT,2775,36445
SAUK RAPIDS SCH DIST 47,4305,50547
SAULT SAINTE MARIE SCH DIST,2346,23811
SAUNEMIN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 438,118,2429
SAUQUOIT VALLEY CTL SCH DIST,1050,19299
SAUSALITO ELEM SCHOOL DIST,521,10346
SAVAGE ELEM SCH DIST 7 J,86,975
SAVAGE H S DIST 2,35,1435
SAVANNA ELEM SCH DIST,2392,26703
SAVANNA SCH DIST 30,373,3498
SAVANNAH SCH DIST R 3,2291,21176
SAVANNAH-CHATHAM COUNTY PUBLIC SCHOOL SYSTEM,38123,473897
SAVOY IND SCH DISTRICT 911,288,3175
SAVOY TOWN SCHS,41,1328
SAWYER SCH DIST 16,106,2121
SAYDEL CONSOLIDATED SCHOOL DISTRICT,1222,19662
SAYRE AREA SCH DISTRICT,1112,17456
SAYRE SCH DIST 31,787,7330
SAYREVILLE BORO SCH DIST,6023,94069
SAYVILLE UNION FREE SCHOOL DIST,3048,87090
SCALES MOUND COMMUNITY UNIT SCHOOL DISTRICT 211,240,5326
SCAPPOOSE SCH DIST 1J,2315,22247
SCARBOROUGH TOWN SCHOOLS,3119,47327
SCARSDALE UNION FREE SCHOOL DIST,4851,147091
SCHALLER-CRESTLAND COMMUNITY SCHOOL DISTRICT,406,6649
SCHALMONT CENTRAL SCHOOL DIST,1822,45429
SCHAUMBURG COMMUNITY CONSOLIDATED SCHOOL DISTRICT 54,14268,245809
SCHENECTADY CITY DIST,10066,189801
SCHENEVUS CENTRAL SCHOOL DIST,373,8280
SCHERTZ-CIBOLO-UNVRSL CTY IND SCHOOL DIST 902,14638,138117
SCHILLER PARK SCHOOL DISTRICT 81,1436,22945
SCHLEICHER IND SCHOOL DIST 901,598,7029
SCHLESWIG COMMUNITY SCHOOL DISTRICT,315,3663
SCHLEY CO SCHOOL DIST,1384,12611
SCHODACK CENTRAL SCHOOL DIST,908,21634
SCHOHARIE CENTRAL SCHOOL,867,20796
SCHOOL ADMIN DIST 1,1801,24316
SCHOOL ADMIN DIST 11,2053,26046
SCHOOL ADMIN DIST 12,156,2275
SCHOOL ADMIN DIST 13,180,3967
SCHOOL ADMIN DIST 15,2012,27706
SCHOOL ADMIN DIST 17,3454,45341
SCHOOL ADMIN DIST 19,132,2484
SCHOOL ADMIN DIST 20,537,6961
SCHOOL ADMIN DIST 22,2293,33633
SCHOOL ADMIN DIST 23,885,9166
SCHOOL ADMIN DIST 24,301,4752
SCHOOL ADMIN DIST 27,892,14192
SCHOOL ADMIN DIST 28,751,13776
SCHOOL ADMIN DIST 29,1311,15922
SCHOOL ADMIN DIST 3,1418,22360
SCHOOL ADMIN DIST 30,253,3934
SCHOOL ADMIN DIST 31,498,8191
SCHOOL ADMIN DIST 32,259,4907
SCHOOL ADMIN DIST 33,236,3900
SCHOOL ADMIN DIST 37,628,8706
SCHOOL ADMIN DIST 4,628,8411
SCHOOL ADMIN DIST 40,1850,27035
SCHOOL ADMIN DIST 41,700,9711
SCHOOL ADMIN DIST 42,375,5057
SCHOOL ADMIN DIST 44,687,13334
SCHOOL ADMIN DIST 46,956,15360
SCHOOL ADMIN DIST 49,2186,30060
SCHOOL ADMIN DIST 51,1998,37911
SCHOOL ADMIN DIST 52,1961,28195
SCHOOL ADMIN DIST 53,1055,12786
SCHOOL ADMIN DIST 54,2626,40225
SCHOOL ADMIN DIST 55,1062,17597
SCHOOL ADMIN DIST 57,3156,42730
SCHOOL ADMIN DIST 58,536,12199
SCHOOL ADMIN DIST 59,646,11192
SCHOOL ADMIN DIST 6,3798,51041
SCHOOL ADMIN DIST 60,3014,44115
SCHOOL ADMIN DIST 61,1799,32190
SCHOOL ADMIN DIST 63,893,11032
SCHOOL ADMIN DIST 64,1170,14365
SCHOOL ADMIN DIST 7,67,2120
SCHOOL ADMIN DIST 70,496,7532
SCHOOL ADMIN DIST 72,1110,17467
SCHOOL ADMIN DIST 74,699,11216
SCHOOL ADMIN DIST 75,2471,43016
SCHOOL ADMIN DIST 76,50,1177
SCHOOL ADMIN DIST 8,180,3800
SCHOOL ADMINISTRATIVE DISTRICT 14,106,2700
SCHOOL ADMINISTRATIVE DISTRICT 35,2286,32835
SCHOOL ADMINISTRATIVE DISTRICT 45,376,5307
SCHOOL CITY OF EAST CHICAGO,5067,82496
SCHOOL DISTRICT U-46 (ELGIN AREA),40400,579389
SCHOOL OF THE OSAGE SCHOOL DIST R-2,1879,21873
SCHOOLCRAFT COM SCHOOL DIST,1072,12088
SCHROON LAKE CENTRAL SCHOOL DIST,211,7555
SCHULENBURG IND SCHOOL DIST,713,7842
SCHULTER SCHOOL DIST 6,145,1575
SCHUYLER COMMUNITY SCHOOL DISTRICT 123,1961,23229
SCHUYLER SCHOOL DIST R-1,642,6533
SCHUYLER-INDUSTRY COMMUNITY UNIT SCHOOL DISTRICT 5,1189,12562
SCHUYLERVILLE CENTRAL SCHOOL DIST,1696,33725
SCHUYLKILL HAVEN AREA SCHOOL DIST,1255,19004
SCHUYLKILL VAL SCHOOL DIST,1978,35445
SCIENCE HILL IND SCH D,499,4517
SCIO CENTRAL SCH DIST 1,362,9687
SCIO SCHOOL DIST 95,4330,35177
SCIOTO VALLEY LOCAL SCHOOL DIST,1380,18207
SCITUATE TOWN SCH,3092,47333
SCITUATE TOWN SCHS,1419,23794
SCOBEY K-12 SCHOOL DISTRICT,275,3712
SCOTCH PLAINS FANWOOD REG SCHOOL DIST,5446,97907
SCOTIA UNION ELEM SCH DIST,220,2115
SCOTIA-GLENVILLE CTL SCH DIST,2571,49716
SCOTLAND CO SCH DIST R 1,601,5930
SCOTLAND CO SCHOOLS,6147,63218
SCOTLAND SCHOOL DISTRICT 4-3,272,3044
SCOTLAND TOWN SCHOOLS,129,3542
SCOTT CITY SCHOOL DISTRICT R 1,804,8983
SCOTT CO SCH BD OF ED,3066,26240
SCOTT CO SCH DIST,9016,87748
SCOTT CO SCH DIST R 4,996,8573
SCOTT COUNTY CENTRAL SCHOOLS,360,3891
SCOTT COUNTY SCHOOL DISTRICT,4036,30462
SCOTT COUNTY SCHOOL DISTRICT 1,1334,15078
SCOTT COUNTY SCHOOL DISTRICT 2,2626,29989
SCOTT COUNTY SCHS,3783,36146
SCOTT COUNTY UNIFIED SCHOOL DISTRICT 466,971,12082
SCOTT VALLEY UNIFIED SCHOOL DISTRICT,658,8838
SCOTT-MORGAN COMMUNITY UNIT SCHOOL DISTRICT 2,221,2678
SCOTTS VALLEY UNIFIED SCHOOL DISTRICT,2482,23867
SCOTTSBLUFF CITY SD 32,3293,37695
SCOTTSBORO CITY SCHOOL DISTRICT,2596,27316
SCOTTSDALE UNIFIED SCHOOL DISTRICT 48,23883,228404
SCRANTON CITY SCH DIST,10009,135014
SCRANTON SCH DIST,413,4286
SCRANTON SPEC SCH DIST 33,130,2495
SCREVEN CO SCH DIST,2358,23973
SCRIBNER SNYDER SCH DIST 62,204,4725
SCURRY-ROSSER IND SCH DIST 910,1005,10018
SEA GIRT SCH DIST,162,4915
SEABROOK SCH DIST,718,12907
SEAFORD SCH DIST,2372,63114
SEAFORD SCHOOL DISTRICT,3509,51115
SEAGRAVES IND SCH DISTRICT 901,598,10227
SEALY IND SCH DIST 902,2803,27621
SEAMAN UNIFIED SCHOOL DISTRICT 345,3973,42660
